ticker,date,avg_daily_sentiment
AAPL,2025-07-27,0.089
AAPL,2025-07-28,0.751
ADBE,2025-07-14,0.182
ADBE,2025-07-16,0.856
ADBE,2025-07-17,0.623
ADBE,2025-07-18,0.65
ADBE,2025-07-19,0.511
ADBE,2025-07-21,0.802
ADBE,2025-07-22,0.896
ADBE,2025-07-24,0.613
ADBE,2025-07-25,0.846
ADBE,2025-07-26,0.743
ADBE,2025-07-28,0.627
AMD,2025-07-28,0.264
AMZN,2025-07-27,0.246
AMZN,2025-07-28,0.642
AVGO,2025-07-21,0.0
AVGO,2025-07-22,0.267
AVGO,2025-07-23,0.291
AVGO,2025-07-24,0.394
AVGO,2025-07-25,0.375
AVGO,2025-07-26,0.617
AVGO,2025-07-28,0.572
AXP,2025-07-18,0.46
AXP,2025-07-20,-0.422
AXP,2025-07-21,0.364
AXP,2025-07-22,0.0
AXP,2025-07-23,0.0
AXP,2025-07-24,0.0
AXP,2025-07-25,0.478
AXP,2025-07-26,0.0
AXP,2025-07-27,-0.31
AZN,2025-07-17,0.67
AZN,2025-07-18,0.23
AZN,2025-07-19,0.775
AZN,2025-07-21,0.384
AZN,2025-07-22,-0.08
AZN,2025-07-23,0.468
AZN,2025-07-24,0.765
AZN,2025-07-25,0.836
AZN,2025-07-26,0.727
AZN,2025-07-28,0.67
BABA,2025-07-26,-0.164
BABA,2025-07-27,0.221
BABA,2025-07-28,0.31
BAC,2025-07-24,-0.041
BAC,2025-07-25,0.558
BAC,2025-07-26,0.602
BAC,2025-07-27,0.777
BAC,2025-07-28,-0.361
BBY,2025-07-14,0.487
BBY,2025-07-15,0.946
BBY,2025-07-16,0.816
BBY,2025-07-17,0.784
BBY,2025-07-21,-0.22
BBY,2025-07-23,0.0
BBY,2025-07-24,-0.901
BBY,2025-07-25,-0.361
BBY,2025-07-27,0.964
BMY,2025-07-13,0.549
BMY,2025-07-14,0.022
BMY,2025-07-17,-0.241
BMY,2025-07-18,0.009
BMY,2025-07-19,0.654
BMY,2025-07-21,0.257
BMY,2025-07-23,0.0
BMY,2025-07-24,0.67
BMY,2025-07-25,-0.296
BMY,2025-07-27,0.0
BP,2025-07-27,0.259
BP,2025-07-28,0.265
C,2025-07-28,0.286
CL,2025-07-26,0.22
CL,2025-07-27,-0.155
CL,2025-07-28,0.137
COP,2025-07-27,-0.058
COP,2025-07-28,-0.155
COST,2025-07-28,0.268
CRM,2025-07-27,0.142
